,DayOfYear,distanceMeters_x,totalTimeSeconds_x,Year,WeekOfYear,DateTime
0,1,4593,2183,2022,1,2022-01-01T17:26
1,2,8075,2878,2022,1,2022-01-02T09:34
2,3,6463,2278,2022,1,2022-01-03T09:08
3,4,8068,2928,2022,1,2022-01-04T16:59
4,5,7645,2892,2022,1,2022-01-05T17:20
5,6,2423,1089,2022,1,2022-01-06T18:45
6,7,2693,1380,2022,1,2022-01-07T18:47
7,8,8097,2855,2022,2,2022-01-08T17:09
8,9,4162,1915,2022,2,2022-01-09T17:49
9,10,6000,2273,2022,2,2022-01-10T09:41
10,11,8065,3153,2022,2,2022-01-11T16:14
11,12,8096,2956,2022,2,2022-01-12T16:43
12,13,8090,2995,2022,2,2022-01-13T16:38
13,14,8509,3022,2022,2,2022-01-14T16:37
14,15,9727,3431,2022,3,2022-01-15T10:08
15,16,9106,4438,2022,3,2022-01-16T16:13
16,17,8183,2895,2022,3,2022-01-17T16:51
17,18,8191,2940,2022,3,2022-01-18T16:00
18,19,9716,3509,2022,3,2022-01-19T16:41
19,20,9694,4796,2022,3,2022-01-20T16:35
20,21,7227,2649,2022,3,2022-01-21T10:35
21,22,4850,2261,2022,4,2022-01-22T18:28
22,23,5000,2207,2022,4,2022-01-23T07:19
23,24,2569,1094,2022,4,2022-01-24T13:56
24,25,4828,2411,2022,4,2022-01-25T04:25
25,26,4123,1881,2022,4,2022-01-26T16:55
26,27,3124,1281,2022,4,2022-01-27T17:01
27,28,6518,2701,2022,4,2022-01-28T16:40
28,29,7000,2636,2022,5,2022-01-29T16:10
29,30,2903,1094,2022,5,2022-01-30T06:45
30,31,9667,4112,2022,5,2022-01-31T16:10
31,32,9666,4484,2022,5,2022-02-01T15:02
32,33,3244,1400,2022,5,2022-02-02T09:50
33,34,9506,4642,2022,5,2022-02-03T16:00
34,35,4850,2084,2022,5,2022-02-04T09:39
35,36,2844,1499,2022,6,2022-02-05T22:31
36,37,2696,1911,2022,6,2022-02-06T08:09
37,38,5776,2178,2022,6,2022-02-07T17:26
38,39,6803,2838,2022,6,2022-02-08T10:26
39,40,4349,1957,2022,6,2022-02-09T17:59
40,41,7017,2962,2022,6,2022-02-10T17:48
41,42,3436,1552,2022,6,2022-02-11T19:10
42,43,4892,2301,2022,7,2022-02-12T18:04
43,44,6501,2957,2022,7,2022-02-13T16:37
44,45,8203,2939,2022,7,2022-02-14T16:54
45,46,5618,9232,2022,7,2022-02-15T17:22
46,47,8080,2960,2022,7,2022-02-16T17:22
47,48,6518,3222,2022,7,2022-02-17T20:06
48,49,3420,1397,2022,7,2022-02-18T17:55
49,50,8125,3089,2022,8,2022-02-19T17:42
50,51,8114,2890,2022,8,2022-02-20T17:33
51,52,8084,2971,2022,8,2022-02-21T17:25
52,53,3239,1474,2022,8,2022-02-22T23:10
53,54,8103,3708,2022,8,2022-02-23T08:57
54,55,8168,2993,2022,8,2022-02-24T08:45
55,56,6604,2456,2022,8,2022-02-25T08:49
56,57,8073,2814,2022,9,2022-02-26T17:45
57,58,8067,2711,2022,9,2022-02-27T17:22
58,59,8074,2856,2022,9,2022-02-28T17:33
59,60,8084,2887,2022,9,2022-03-01T09:50
60,61,6509,2377,2022,9,2022-03-02T17:30
61,62,8069,2992,2022,9,2022-03-03T09:14
62,63,3318,1224,2022,9,2022-03-04T17:28
63,64,8096,2824,2022,10,2022-03-05T18:15
64,65,8121,2829,2022,10,2022-03-06T17:22
65,66,9718,3350,2022,10,2022-03-07T17:29
66,67,8202,2851,2022,10,2022-03-08T17:48
67,68,8096,2899,2022,10,2022-03-09T07:55
68,69,8442,4083,2022,10,2022-03-10T17:21
69,70,4672,2226,2022,10,2022-03-11T20:08
70,71,8136,3440,2022,11,2022-03-12T17:56
71,72,8617,3620,2022,11,2022-03-13T17:48
72,73,8610,3659,2022,11,2022-03-14T18:17
73,74,8817,3685,2022,11,2022-03-15T16:00
74,75,8928,3704,2022,11,2022-03-16T17:37
